method,Age,marginal_W2_dist,traj_W2_dist,FP_TV_dist,FP_perc_matches,n_iter,opt_time,const_err,experiment,N,T
StatOT,99.0,0.46361765810110717,1.1037615856301488,0.8045559,60.0,,,1.249000902703301e-16,5,20,2
gStatOT,2.0,0.48983779139349903,0.9925790815139891,0.8723618,60.0,10000.0,0.07 mins,1.7018504974486426e-05,6,20,2
gStatOT,99.0,0.5018073300033747,1.0057671268299684,1.0117309,60.0,10000.0,0.07 mins,1.7018504974486426e-05,6,20,2
StatOT,2.0,0.4827754733305211,1.0099216082977076,0.8723618,60.0,,,8.326672684688674e-17,6,20,2
StatOT,99.0,0.5024842494835959,1.0667690135970385,2.0,60.0,,,8.326672684688674e-17,6,20,2
gStatOT,2.0,0.4842145945131601,0.9746771095613541,0.91640127,50.0,10000.0,0.07 mins,9.72152137317106e-06,7,20,2
gStatOT,99.0,0.6040923735479021,1.0639364498957449,0.6113986,70.0,10000.0,0.07 mins,9.72152137317106e-06,7,20,2
StatOT,2.0,0.48182463303343737,0.9901322135887002,0.91640127,50.0,,,1.1102230246251565e-16,7,20,2
StatOT,99.0,0.6156571707673004,1.0875004739165635,0.6113986,70.0,,,5.551115123125783e-17,7,20,2
gStatOT,2.0,0.515725491293335,0.9444837833512313,2.0,60.0,2078.0,0.15 mins,0.0509648096361488,8,20,2
gStatOT,99.0,0.6894838218496981,0.9341356236323395,2.0,50.0,2078.0,0.15 mins,0.0509648096361488,8,20,2
StatOT,2.0,0.5100409905024876,0.9486079547233104,2.0,60.0,,,6.938893903907228e-17,8,20,2
StatOT,99.0,0.6044024252449666,1.0356118057207562,2.0,50.0,,,9.71445146547012e-17,8,20,2
gStatOT,2.0,0.5193412076200277,0.9879892521244109,1.1278446,30.0,20000.0,0.12 mins,2.6986731209266424e-05,9,20,2
gStatOT,99.0,0.5956215238715761,0.9168690552967987,0.7270504,70.0,20000.0,0.12 mins,2.6986731209266424e-05,9,20,2
StatOT,2.0,0.5213682898594536,0.9461600924218834,2.0,30.0,,,9.71445146547012e-17,9,20,2
StatOT,99.0,0.5378244305546119,1.0190156033556337,0.295737,90.0,,,1.1102230246251565e-16,9,20,2
gStatOT,2.0,0.5226783697171042,0.863538040054784,1.2424232,40.0,10000.0,0.07 mins,2.7862938734024567e-06,10,20,2
gStatOT,99.0,0.606046586063748,1.058507276004154,1.1476389,50.0,10000.0,0.07 mins,2.7862938734024567e-06,10,20,2
StatOT,2.0,0.4984839087706275,0.9068652588728511,1.2424232,40.0,,,1.249000902703301e-16,10,20,2
StatOT,99.0,0.6140362366486837,1.0519827819869458,2.0,50.0,,,8.326672684688674e-17,10,20,2
gStatOT,2.0,0.4679449397725136,0.9579099301045967,0.43054873,70.0,10000.0,0.08 mins,5.252753478124372e-05,1,50,5
gStatOT,26.0,0.42856912913681094,0.9287889454302691,0.23993914,100.0,10000.0,0.08 mins,5.252753478124372e-05,1,50,5
gStatOT,50.0,0.41696176548071134,0.9442950179241355,0.32371718,70.0,10000.0,0.08 mins,5.252753478124372e-05,1,50,5
gStatOT,74.0,0.40218643993778785,0.9114350744632231,0.30999476,100.0,10000.0,0.08 mins,5.252753478124372e-05,1,50,5
gStatOT,99.0,0.4390275763167521,0.953481455685237,0.3808195,90.0,10000.0,0.08 mins,5.252753478124372e-05,1,50,5
StatOT,2.0,0.516140820939799,0.9804325216521126,0.8229791,50.0,,,5.551115123125783e-17,1,50,5
StatOT,26.0,0.5130676058083629,0.7957368423546406,1.3779957,20.0,,,6.938893903907228e-17,1,50,5
StatOT,50.0,0.6395701482028102,0.8120627207562298,1.4177738,30.0,,,1.5265566588595902e-16,1,50,5
StatOT,74.0,0.4810305702626954,1.042157302587087,2.0,40.0,,,8.326672684688674e-17,1,50,5
StatOT,99.0,0.503433656449223,0.9946686585907484,1.2255529,40.0,,,1.1102230246251565e-16,1,50,5
gStatOT,2.0,0.4663913119344901,0.7248231896312228,0.37898716,80.0,10000.0,0.08 mins,1.1767229868286933e-06,2,50,5
