Method,Age,Fate,Top genes,AP
StatOT,45.0 (yrs),Granulocyte,5,0.0149394406518388
GT-TC,45.0 (yrs),Granulocyte,5,0.755
gStatOT,53.0 (yrs),Granulocyte,5,0.6595238095238095
StatOT,53.0 (yrs),Granulocyte,5,0.3879365079365079
GT-TC,53.0 (yrs),Granulocyte,5,0.755
gStatOT,62.0 (yrs),Granulocyte,5,0.780952380952381
StatOT,62.0 (yrs),Granulocyte,5,0.9111111111111111
GT-TC,62.0 (yrs),Granulocyte,5,0.8216666666666667
gStatOT,76.0 (yrs),Granulocyte,5,0.01929251721020722
StatOT,76.0 (yrs),Granulocyte,5,0.0040459709031107575
GT-TC,76.0 (yrs),Granulocyte,5,1.0
gStatOT,77.0 (yrs),Granulocyte,5,0.01928523229726193
StatOT,77.0 (yrs),Granulocyte,5,0.3468473555430077
GT-TC,77.0 (yrs),Granulocyte,5,1.0
gStatOT,10.0 (wks),Granulocyte,5,0.25534646604100975
StatOT,10.0 (wks),Granulocyte,5,0.5574294398610509
GT-TC,10.0 (wks),Granulocyte,5,1.0
gStatOT,11.0 (wks),Granulocyte,5,0.25534646604100975
StatOT,11.0 (wks),Granulocyte,5,0.0025387064114608246
GT-TC,11.0 (wks),Granulocyte,5,1.0
gStatOT,13.0 (wks),Granulocyte,5,0.42865822784810126
StatOT,13.0 (wks),Granulocyte,5,0.4162179785747554
GT-TC,13.0 (wks),Granulocyte,5,1.0
gStatOT,14.0 (wks),Granulocyte,5,0.42865822784810126
StatOT,14.0 (wks),Granulocyte,5,0.0194279241008213
GT-TC,14.0 (wks),Granulocyte,5,1.0
gStatOT,15.0 (wks),Granulocyte,5,0.42865822784810126
StatOT,15.0 (wks),Granulocyte,5,0.0
GT-TC,15.0 (wks),Granulocyte,5,0.9
gStatOT,20.0 (wks),Granulocyte,5,0.21485617597292722
StatOT,20.0 (wks),Granulocyte,5,0.005300513440048324
GT-TC,20.0 (wks),Granulocyte,5,0.7
gStatOT,22.0 (wks),Granulocyte,5,0.3161990162964849
StatOT,22.0 (wks),Granulocyte,5,0.0006985912140551316
GT-TC,22.0 (wks),Granulocyte,5,0.7416666666666667
gStatOT,23.0 (wks),Granulocyte,5,0.31622839487596177
StatOT,23.0 (wks),Granulocyte,5,0.6114232713999341
GT-TC,23.0 (wks),Granulocyte,5,1.0
gStatOT,0.0 (yrs),Megakaryocyte,5,0.0
StatOT,0.0 (yrs),Megakaryocyte,5,0.0
GT-TC,0.0 (yrs),Megakaryocyte,5,0.16666666666666666
gStatOT,2.0 (yrs),Megakaryocyte,5,0.0
StatOT,2.0 (yrs),Megakaryocyte,5,0.0
GT-TC,2.0 (yrs),Megakaryocyte,5,0.4
gStatOT,4.0 (yrs),Megakaryocyte,5,0.0
StatOT,4.0 (yrs),Megakaryocyte,5,0.0
GT-TC,4.0 (yrs),Megakaryocyte,5,0.3666666666666667
gStatOT,10.0 (yrs),Megakaryocyte,5,0.0
StatOT,10.0 (yrs),Megakaryocyte,5,0.0
GT-TC,10.0 (yrs),Megakaryocyte,5,0.6000000000000001
gStatOT,12.0 (yrs),Megakaryocyte,5,0.0
StatOT,12.0 (yrs),Megakaryocyte,5,0.0
GT-TC,12.0 (yrs),Megakaryocyte,5,0.4983333333333333
gStatOT,17.0 (yrs),Megakaryocyte,5,0.0
StatOT,17.0 (yrs),Megakaryocyte,5,0.0
GT-TC,17.0 (yrs),Megakaryocyte,5,0.7
gStatOT,25.0 (yrs),Megakaryocyte,5,0.0
StatOT,25.0 (yrs),Megakaryocyte,5,0.0
GT-TC,25.0 (yrs),Megakaryocyte,5,0.755
gStatOT,32.0 (yrs),Megakaryocyte,5,0.010053007040877056
StatOT,32.0 (yrs),Megakaryocyte,5,0.0
GT-TC,32.0 (yrs),Megakaryocyte,5,0.8
gStatOT,35.0 (yrs),Megakaryocyte,5,0.010053007040877056
StatOT,35.0 (yrs),Megakaryocyte,5,0.0002554278416347382
GT-TC,35.0 (yrs),Megakaryocyte,5,0.9
gStatOT,45.0 (yrs),Megakaryocyte,5,0.0033680738899307698
StatOT,45.0 (yrs),Megakaryocyte,5,0.0
GT-TC,45.0 (yrs),Megakaryocyte,5,0.9
gStatOT,53.0 (yrs),Megakaryocyte,5,0.0009034501252993775
StatOT,53.0 (yrs),Megakaryocyte,5,0.0
GT-TC,53.0 (yrs),Megakaryocyte,5,0.9
gStatOT,62.0 (yrs),Megakaryocyte,5,0.0
StatOT,62.0 (yrs),Megakaryocyte,5,0.0
GT-TC,62.0 (yrs),Megakaryocyte,5,1.0
gStatOT,76.0 (yrs),Megakaryocyte,5,0.002097703376475755
StatOT,76.0 (yrs),Megakaryocyte,5,0.0
GT-TC,76.0 (yrs),Megakaryocyte,5,1.0
gStatOT,77.0 (yrs),Megakaryocyte,5,0.0020892151326933938
StatOT,77.0 (yrs),Megakaryocyte,5,0.0
GT-TC,77.0 (yrs),Megakaryocyte,5,1.0
gStatOT,10.0 (wks),Megakaryocyte,5,0.0
StatOT,10.0 (wks),Megakaryocyte,5,0.0
GT-TC,10.0 (wks),Megakaryocyte,5,0.0
gStatOT,11.0 (wks),Megakaryocyte,5,0.0
StatOT,11.0 (wks),Megakaryocyte,5,0.0
GT-TC,11.0 (wks),Megakaryocyte,5,0.0
gStatOT,13.0 (wks),Megakaryocyte,5,0.0
StatOT,13.0 (wks),Megakaryocyte,5,0.0
GT-TC,13.0 (wks),Megakaryocyte,5,0.4
gStatOT,14.0 (wks),Megakaryocyte,5,0.0
StatOT,14.0 (wks),Megakaryocyte,5,0.0
GT-TC,14.0 (wks),Megakaryocyte,5,0.755
gStatOT,15.0 (wks),Megakaryocyte,5,0.0
StatOT,15.0 (wks),Megakaryocyte,5,0.0
GT-TC,15.0 (wks),Megakaryocyte,5,0.7
gStatOT,20.0 (wks),Megakaryocyte,5,0.0
StatOT,20.0 (wks),Megakaryocyte,5,0.0
GT-TC,20.0 (wks),Megakaryocyte,5,0.51
gStatOT,22.0 (wks),Megakaryocyte,5,0.0
StatOT,22.0 (wks),Megakaryocyte,5,0.0
GT-TC,22.0 (wks),Megakaryocyte,5,0.6
gStatOT,23.0 (wks),Megakaryocyte,5,0.0
StatOT,23.0 (wks),Megakaryocyte,5,0.0
GT-TC,23.0 (wks),Megakaryocyte,5,0.6
gStatOT,0.0 (yrs),Baso/Mast,10,0.00983908738765353
StatOT,0.0 (yrs),Baso/Mast,10,0.0
GT-TC,0.0 (yrs),Baso/Mast,10,0.6283333333333333
gStatOT,2.0 (yrs),Baso/Mast,10,0.010413041425360777
StatOT,2.0 (yrs),Baso/Mast,10,0.0
GT-TC,2.0 (yrs),Baso/Mast,10,0.6082142857142857
gStatOT,4.0 (yrs),Baso/Mast,10,0.013177327649460557
StatOT,4.0 (yrs),Baso/Mast,10,0.00034129692832764505
GT-TC,4.0 (yrs),Baso/Mast,10,0.6375
gStatOT,10.0 (yrs),Baso/Mast,10,0.004909881088902884
StatOT,10.0 (yrs),Baso/Mast,10,0.00034129692832764505
GT-TC,10.0 (yrs),Baso/Mast,10,0.6682738095238094
gStatOT,12.0 (yrs),Baso/Mast,10,0.0055736078923283765
StatOT,12.0 (yrs),Baso/Mast,10,0.00034129692832764505
GT-TC,12.0 (yrs),Baso/Mast,10,0.6345238095238095
gStatOT,17.0 (yrs),Baso/Mast,10,0.013251629086015035
StatOT,17.0 (yrs),Baso/Mast,10,0.08264085601600901
GT-TC,17.0 (yrs),Baso/Mast,10,0.6645238095238095
gStatOT,25.0 (yrs),Baso/Mast,10,0.01971461134310477
StatOT,25.0 (yrs),Baso/Mast,10,0.02134315280482366
GT-TC,25.0 (yrs),Baso/Mast,10,0.8394444444444444
gStatOT,32.0 (yrs),Baso/Mast,10,0.02517498191536844
StatOT,32.0 (yrs),Baso/Mast,10,0.00034129692832764505
GT-TC,32.0 (yrs),Baso/Mast,10,0.845
gStatOT,35.0 (yrs),Baso/Mast,10,0.016869017038230745
StatOT,35.0 (yrs),Baso/Mast,10,0.004987499438498923
GT-TC,35.0 (yrs),Baso/Mast,10,0.6663293650793651
gStatOT,45.0 (yrs),Baso/Mast,10,0.02037200755802867
StatOT,45.0 (yrs),Baso/Mast,10,0.004137256468432917
GT-TC,45.0 (yrs),Baso/Mast,10,0.7634126984126984
gStatOT,53.0 (yrs),Baso/Mast,10,0.00810600106682827
StatOT,53.0 (yrs),Baso/Mast,10,0.00034129692832764505
GT-TC,53.0 (yrs),Baso/Mast,10,0.6094444444444445
gStatOT,62.0 (yrs),Baso/Mast,10,0.01
StatOT,62.0 (yrs),Baso/Mast,10,0.019372463907560086
GT-TC,62.0 (yrs),Baso/Mast,10,0.32
gStatOT,76.0 (yrs),Baso/Mast,10,0.020092082774335576
StatOT,76.0 (yrs),Baso/Mast,10,0.00034129692832764505
GT-TC,76.0 (yrs),Baso/Mast,10,0.44285714285714284
