"","Cell","orig.ident","nCount_RNA","nFeature_RNA","seurat_clusters","cluster_name"
"32102","Samp42_bcAISR","Samp42",19355,8469,2,"MPP-2"
"32103","Samp42_bcDZPX","Samp42",10594,5252,1,"MPP-1"
"32104","Samp42_bcETIQ","Samp42",8445,4745,2,"MPP-2"
"32105","Samp42_bcBVNS","Samp42",8715,4577,2,"MPP-2"
"32106","Samp42_bcBGGM","Samp42",6566,3736,2,"MPP-2"
"32107","Samp42_bcGCWG","Samp42",24474,10323,2,"MPP-2"
"32108","Samp42_bcEGJT","Samp42",18624,8368,2,"MPP-2"
"32109","Samp42_bcHMJM","Samp42",15131,7083,2,"MPP-2"
"32110","Samp42_bcDFMF","Samp42",14011,6944,1,"MPP-1"
"32111","Samp42_bcIDWK","Samp42",9251,5109,6,"Ly-Prog-2"
"32112","Samp42_bcCLXG","Samp42",8663,4890,1,"MPP-1"
"32113","Samp42_bcBLUQ","Samp42",15419,7050,2,"MPP-2"
"32114","Samp42_bcBJWM","Samp42",12466,6223,2,"MPP-2"
"32115","Samp42_bcHQVG","Samp42",10884,5697,2,"MPP-2"
"32116","Samp42_bcFBOT","Samp42",10721,5949,2,"MPP-2"
"32117","Samp42_bcBNFS","Samp42",9252,5073,2,"MPP-2"
"32118","Samp42_bcCNTX","Samp42",23152,9838,2,"MPP-2"
"32119","Samp42_bcDWTC","Samp42",16556,7860,6,"Ly-Prog-2"
"32120","Samp42_bcGUPB","Samp42",15574,7324,2,"MPP-2"
"32121","Samp42_bcEJYY","Samp42",13445,6845,2,"MPP-2"
"32122","Samp42_bcHMUZ","Samp42",10281,5257,2,"MPP-2"
"32123","Samp42_bcAYBJ","Samp42",9303,4863,1,"MPP-1"
"32124","Samp42_bcIBFJ","Samp42",8725,4821,2,"MPP-2"
"32125","Samp42_bcEZYS","Samp42",16960,7649,2,"MPP-2"
"32126","Samp42_bcBHHX","Samp42",14043,6714,2,"MPP-2"
"32127","Samp42_bcBVWP","Samp42",12114,6259,1,"MPP-1"
"32128","Samp42_bcEEQF","Samp42",11222,5662,3,"Ly-Prog-4"
"32129","Samp42_bcCYIK","Samp42",10343,5440,2,"MPP-2"
"32130","Samp42_bcIEFJ","Samp42",9635,5058,2,"MPP-2"
"32131","Samp42_bcGAPO","Samp42",7792,4668,6,"Ly-Prog-2"
"32132","Samp42_bcEULF","Samp42",6818,3829,2,"MPP-2"
"32133","Samp42_bcEPJE","Samp42",4901,2973,2,"MPP-2"
"32134","Samp42_bcFTIP","Samp42",18817,8551,2,"MPP-2"
"32135","Samp42_bcCWAM","Samp42",13510,6772,2,"MPP-2"
"32136","Samp42_bcEMVG","Samp42",13817,6724,2,"MPP-2"
"32137","Samp42_bcBMJN","Samp42",8057,4340,21,"MPP-3"
"32138","Samp42_bcBFYZ","Samp42",6221,3564,2,"MPP-2"
"32139","Samp42_bcAGUP","Samp42",14710,6991,6,"Ly-Prog-2"
"32140","Samp42_bcIJZF","Samp42",14629,7098,1,"MPP-1"
"32141","Samp42_bcIBAG","Samp42",13484,6947,0,"HSC"
"32142","Samp42_bcDFKF","Samp42",9695,5293,2,"MPP-2"
"32143","Samp42_bcDXHQ","Samp42",8650,4432,1,"MPP-1"
"32144","Samp42_bcAUYE","Samp42",7514,4251,2,"MPP-2"
"32145","Samp42_bcBDPT","Samp42",5188,3007,2,"MPP-2"
"32146","Samp42_bcCVCQ","Samp42",15772,7542,2,"MPP-2"
"32147","Samp42_bcAXLO","Samp42",13428,6745,1,"MPP-1"
"32148","Samp42_bcFPIB","Samp42",11165,5958,6,"Ly-Prog-2"
"32149","Samp42_bcAHGQ","Samp42",12198,6023,5,"G-Prog-1"
"32150","Samp42_bcBQRI","Samp42",11407,6137,2,"MPP-2"
"32151","Samp42_bcAGYM","Samp42",10260,5550,2,"MPP-2"
"32152","Samp42_bcGPCD","Samp42",9089,5156,2,"MPP-2"
"32153","Samp42_bcHQYN","Samp42",6873,3928,2,"MPP-2"
"32154","Samp42_bcFCRQ","Samp42",6442,3754,2,"MPP-2"
"32155","Samp42_bcHPVP","Samp42",4458,2727,2,"MPP-2"
"32156","Samp42_bcAKGV","Samp42",3775,2427,1,"MPP-1"
"32157","Samp42_bcBWMA","Samp42",8047,4450,2,"MPP-2"
"32158","Samp42_bcFXXG","Samp42",7762,4386,2,"MPP-2"
"32159","Samp42_bcAFMT","Samp42",18070,8721,6,"Ly-Prog-2"
"32160","Samp42_bcCYFX","Samp42",15863,7477,2,"MPP-2"
"32161","Samp42_bcDZTI","Samp42",12277,6449,2,"MPP-2"
"32162","Samp42_bcAWYC","Samp42",10254,5050,5,"G-Prog-1"
"32163","Samp42_bcDEVL","Samp42",9216,5166,2,"MPP-2"
"32164","Samp42_bcDLIC","Samp42",6702,3741,5,"G-Prog-1"
"32165","Samp42_bcEZLH","Samp42",5605,3414,2,"MPP-2"
"32166","Samp42_bcDUAX","Samp42",16152,7833,5,"G-Prog-1"
"32167","Samp42_bcERNX","Samp42",11634,5949,2,"MPP-2"
"32168","Samp42_bcHASE","Samp42",9819,5492,2,"MPP-2"
"32169","Samp42_bcEVLA","Samp42",15134,6936,6,"Ly-Prog-2"
"32170","Samp42_bcHFLN","Samp42",8345,4222,1,"MPP-1"
"32171","Samp42_bcDAGE","Samp42",5045,3104,5,"G-Prog-1"
"32172","Samp42_bcGRPI","Samp42",5649,3409,3,"Ly-Prog-4"
"32173","Samp42_bcACIJ","Samp42",22017,9677,2,"MPP-2"
"32174","Samp42_bcBWQO","Samp42",17245,8013,6,"Ly-Prog-2"
"32175","Samp42_bcEUUU","Samp42",12023,5844,11,"G-Prog-3"
"32176","Samp42_bcGJBU","Samp42",10913,5381,1,"MPP-1"
"32177","Samp42_bcGVAT","Samp42",8563,4639,5,"G-Prog-1"
"32178","Samp42_bcFQLB","Samp42",17367,7834,12,"G/Mono-Prog"
"32179","Samp42_bcFQEK","Samp42",5662,3106,5,"G-Prog-1"
"32180","Samp42_bcDKYW","Samp42",4752,2843,5,"G-Prog-1"
"32181","Samp42_bcFOJT","Samp42",19576,8632,9,"My-MPP"
"32182","Samp42_bcBXHU","Samp42",15169,6935,5,"G-Prog-1"
"32183","Samp42_bcBWUA","Samp42",10465,5603,5,"G-Prog-1"
"32184","Samp42_bcHWVY","Samp42",10278,5473,5,"G-Prog-1"
"32185","Samp42_bcIFPR","Samp42",8477,4589,5,"G-Prog-1"
"32186","Samp42_bcHUUD","Samp42",21577,9601,5,"G-Prog-1"
"32187","Samp42_bcEMTU","Samp42",13463,7197,12,"G/Mono-Prog"
"32188","Samp42_bcCSMC","Samp42",9803,5639,12,"G/Mono-Prog"
"32189","Samp42_bcBTSJ","Samp42",3534,2222,1,"MPP-1"
"32190","Samp42_bcEQNQ","Samp42",1998,1290,11,"G-Prog-3"
"32191","Samp42_bcCWNO","Samp42",21373,9410,5,"G-Prog-1"
"32192","Samp42_bcIGPD","Samp42",19770,9509,5,"G-Prog-1"
"32193","Samp42_bcFVNA","Samp42",11190,5877,11,"G-Prog-3"
"32194","Samp42_bcFVHL","Samp42",10675,5321,5,"G-Prog-1"
"32195","Samp42_bcHNUY","Samp42",11673,5842,5,"G-Prog-1"
"32196","Samp42_bcFTJI","Samp42",7320,4169,5,"G-Prog-1"
"32197","Samp42_bcEHGV","Samp42",7747,4190,5,"G-Prog-1"
"32198","Samp42_bcGKZE","Samp42",6525,3666,5,"G-Prog-1"
"32199","Samp42_bcCYXJ","Samp42",5894,3824,11,"G-Prog-3"
"32200","Samp42_bcHNQO","Samp42",30035,11809,1,"MPP-1"
"32201","Samp42_bcAFGH","Samp42",10145,5105,2,"MPP-2"
"32202","Samp42_bcIGTD","Samp42",9603,4724,5,"G-Prog-1"
"32203","Samp42_bcHWHW","Samp42",7873,4400,5,"G-Prog-1"
"32204","Samp42_bcFOJL","Samp42",5338,3029,5,"G-Prog-1"
"32205","Samp42_bcBVBP","Samp42",16783,7843,5,"G-Prog-1"
"32206","Samp42_bcFJOO","Samp42",12667,6440,2,"MPP-2"
"32207","Samp42_bcHDVW","Samp42",11142,5474,12,"G/Mono-Prog"
"32208","Samp42_bcBJBB","Samp42",9852,5026,5,"G-Prog-1"
"32209","Samp42_bcEILC","Samp42",8137,4511,5,"G-Prog-1"
"32210","Samp42_bcHTXO","Samp42",6334,3950,7,"G-Prog-2"
"32211","Samp42_bcIDDH","Samp42",20675,9037,21,"MPP-3"
"32212","Samp42_bcFTHQ","Samp42",15237,7514,5,"G-Prog-1"
"32213","Samp42_bcGCLW","Samp42",14593,6971,5,"G-Prog-1"
"32214","Samp42_bcEEGJ","Samp42",12456,6009,1,"MPP-1"
"32215","Samp42_bcBIQC","Samp42",8217,4497,5,"G-Prog-1"
"32216","Samp42_bcGSYV","Samp42",15438,7036,5,"G-Prog-1"
"32217","Samp42_bcCTKK","Samp42",7082,3967,6,"Ly-Prog-2"
"32218","Samp42_bcHINH","Samp42",19265,8538,6,"Ly-Prog-2"
"32219","Samp42_bcGRGR","Samp42",18548,7114,2,"MPP-2"
"32220","Samp42_bcFZGU","Samp42",1919,1419,5,"G-Prog-1"
"32221","Samp42_bcCKQY","Samp42",13390,6719,6,"Ly-Prog-2"
"32222","Samp42_bcBJBG","Samp42",13360,6452,6,"Ly-Prog-2"
"32223","Samp42_bcFHGH","Samp42",9405,5325,5,"G-Prog-1"
"32224","Samp42_bcFPBQ","Samp42",8666,4672,10,"Ly-Prog-1"
"32225","Samp42_bcAFXC","Samp42",26530,10384,5,"G-Prog-1"
"32226","Samp42_bcDIIV","Samp42",16171,7649,11,"G-Prog-3"
"32227","Samp42_bcICHF","Samp42",9000,4821,6,"Ly-Prog-2"
"32228","Samp42_bcCXLC","Samp42",6617,3753,1,"MPP-1"
"32229","Samp42_bcFGZY","Samp42",14270,6777,5,"G-Prog-1"
"32230","Samp42_bcHRCT","Samp42",10852,5471,5,"G-Prog-1"
"32231","Samp42_bcGKQG","Samp42",8929,5006,1,"MPP-1"
"32232","Samp42_bcHTCE","Samp42",16868,7989,2,"MPP-2"
"32233","Samp42_bcGQMW","Samp42",13390,6392,5,"G-Prog-1"
"32234","Samp42_bcGYAK","Samp42",18228,8532,11,"G-Prog-3"
"32235","Samp42_bcFFZJ","Samp42",8656,4607,5,"G-Prog-1"
"32236","Samp42_bcHYRJ","Samp42",8463,4478,5,"G-Prog-1"
"32237","Samp42_bcHQBF","Samp42",7603,3950,5,"G-Prog-1"
"32238","Samp42_bcHKZG","Samp42",12323,5781,5,"G-Prog-1"
"32239","Samp42_bcBXGS","Samp42",14053,6909,5,"G-Prog-1"
"32240","Samp42_bcCSFR","Samp42",8572,4542,5,"G-Prog-1"
"32241","Samp42_bcIBYW","Samp42",8221,5094,1,"MPP-1"
"32242","Samp42_bcIDKT","Samp42",18620,8166,6,"Ly-Prog-2"
"32243","Samp42_bcFWIB","Samp42",16939,8187,6,"Ly-Prog-2"
"32244","Samp42_bcBUVZ","Samp42",9300,4957,5,"G-Prog-1"
"32245","Samp42_bcDQCI","Samp42",9392,5085,5,"G-Prog-1"
"32246","Samp42_bcFTWN","Samp42",16592,8121,5,"G-Prog-1"
"32247","Samp42_bcFEOV","Samp42",13050,6452,11,"G-Prog-3"
"32248","Samp42_bcBONS","Samp42",12416,6249,12,"G/Mono-Prog"
"32249","Samp42_bcFMKG","Samp42",9621,5182,5,"G-Prog-1"
"32250","Samp42_bcCSFO","Samp42",8827,4749,5,"G-Prog-1"
"32251","Samp42_bcAZFR","Samp42",7169,3903,5,"G-Prog-1"
"32252","Samp42_bcGBJC","Samp42",3688,2328,5,"G-Prog-1"
"32253","Samp42_bcABVN","Samp42",19446,8398,2,"MPP-2"
"32254","Samp42_bcGBUG","Samp42",15038,7080,11,"G-Prog-3"
"32255","Samp42_bcAQJK","Samp42",4771,2939,1,"MPP-1"
"32256","Samp42_bcHJAS","Samp42",2872,1926,5,"G-Prog-1"
"32257","Samp42_bcCYMK","Samp42",18160,8015,5,"G-Prog-1"
"32258","Samp42_bcHULG","Samp42",13309,6510,5,"G-Prog-1"
"32259","Samp42_bcBXAJ","Samp42",7189,4023,5,"G-Prog-1"
"32260","Samp42_bcARVT","Samp42",5880,3203,1,"MPP-1"
"32261","Samp42_bcGJDR","Samp42",24791,10689,5,"G-Prog-1"
"32262","Samp42_bcFQCM","Samp42",18114,7800,5,"G-Prog-1"
"32263","Samp42_bcEAMT","Samp42",14759,6887,5,"G-Prog-1"
"32264","Samp42_bcFWPE","Samp42",1870,1388,7,"G-Prog-2"
"32265","Samp42_bcBEGU","Samp42",9313,4985,5,"G-Prog-1"
"32266","Samp42_bcHHGL","Samp42",8930,4653,5,"G-Prog-1"
"32267","Samp42_bcFPIU","Samp42",17828,8361,5,"G-Prog-1"
"32268","Samp42_bcHCBK","Samp42",15907,7433,5,"G-Prog-1"
"32269","Samp42_bcBXHL","Samp42",7542,3954,5,"G-Prog-1"
"32270","Samp42_bcDWLC","Samp42",4510,2721,1,"MPP-1"
"32271","Samp42_bcGLWH","Samp42",1814,1293,5,"G-Prog-1"
"32272","Samp42_bcIDHY","Samp42",16691,7501,2,"MPP-2"
"32273","Samp42_bcGEPC","Samp42",12006,6269,5,"G-Prog-1"
"32274","Samp42_bcBCRF","Samp42",11995,6185,21,"MPP-3"
"32275","Samp42_bcDRGG","Samp42",9519,5017,5,"G-Prog-1"
"32276","Samp42_bcEMHA","Samp42",7237,3991,6,"Ly-Prog-2"
"32277","Samp42_bcECVW","Samp42",9562,5056,11,"G-Prog-3"
"32278","Samp42_bcICCS","Samp42",8119,4438,12,"G/Mono-Prog"
"32279","Samp42_bcIGJA","Samp42",22278,8924,6,"Ly-Prog-2"
"32280","Samp42_bcBIZS","Samp42",11523,5732,2,"MPP-2"
"32281","Samp42_bcBMUS","Samp42",8805,4777,5,"G-Prog-1"
"32282","Samp42_bcAVEF","Samp42",8573,4431,1,"MPP-1"
"32283","Samp42_bcIGDL","Samp42",3790,2543,12,"G/Mono-Prog"
"32284","Samp42_bcFTHW","Samp42",22339,9324,6,"Ly-Prog-2"
"32285","Samp42_bcFTBU","Samp42",13401,6582,2,"MPP-2"
"32286","Samp42_bcBKMJ","Samp42",11124,5608,5,"G-Prog-1"
"32287","Samp42_bcFDWG","Samp42",2631,1736,5,"G-Prog-1"
"32288","Samp42_bcCPDZ","Samp42",23824,9470,6,"Ly-Prog-2"
"32289","Samp42_bcFOKK","Samp42",17673,7798,12,"G/Mono-Prog"
"32290","Samp42_bcHLXF","Samp42",19367,8513,6,"Ly-Prog-2"
"32291","Samp42_bcENDW","Samp42",15516,7179,6,"Ly-Prog-2"
"32292","Samp42_bcGGGF","Samp42",12685,6260,6,"Ly-Prog-2"
"32293","Samp42_bcHQAO","Samp42",12580,5982,11,"G-Prog-3"
"32294","Samp42_bcGNBF","Samp42",11555,6454,21,"MPP-3"
"32295","Samp42_bcCKXE","Samp42",9655,5052,5,"G-Prog-1"
"32296","Samp42_bcAVYK","Samp42",3173,2014,7,"G-Prog-2"
"32297","Samp42_bcAZPP","Samp42",16278,6983,5,"G-Prog-1"
"32298","Samp42_bcCKYW","Samp42",17173,8469,11,"G-Prog-3"
"32299","Samp42_bcBLNA","Samp42",12920,6297,5,"G-Prog-1"
"32300","Samp42_bcBKOC","Samp42",12567,6992,11,"G-Prog-3"
"32301","Samp42_bcAYPR","Samp42",8070,4633,5,"G-Prog-1"
"32302","Samp42_bcAPEE","Samp42",7620,4379,11,"G-Prog-3"
"32303","Samp42_bcIBCX","Samp42",4606,2823,12,"G/Mono-Prog"
"32304","Samp42_bcAFNB","Samp42",21328,9150,6,"Ly-Prog-2"
"32305","Samp42_bcDIZL","Samp42",10798,5975,2,"MPP-2"
"32306","Samp42_bcBEMK","Samp42",8524,4674,2,"MPP-2"
"32307","Samp42_bcCAAI","Samp42",7449,4061,5,"G-Prog-1"
"32308","Samp42_bcGAWQ","Samp42",6932,3695,12,"G/Mono-Prog"
"32309","Samp42_bcAMVQ","Samp42",4329,2921,11,"G-Prog-3"
"32310","Samp42_bcIACB","Samp42",10548,5495,3,"Ly-Prog-4"
"32311","Samp42_bcCCND","Samp42",5166,2978,3,"Ly-Prog-4"
"32312","Samp42_bcGWRZ","Samp42",9564,5149,6,"Ly-Prog-2"
"32313","Samp42_bcHALC","Samp42",7542,4305,2,"MPP-2"
"32314","Samp42_bcAZSV","Samp42",6837,3873,6,"Ly-Prog-2"
"32315","Samp42_bcENVB","Samp42",6578,3869,10,"Ly-Prog-1"
"32316","Samp42_bcESFJ","Samp42",6135,3482,6,"Ly-Prog-2"
"32317","Samp42_bcCMBG","Samp42",401,328,8,"Ly-Prog-3"
"32318","Samp42_bcEOKS","Samp42",8951,4684,6,"Ly-Prog-2"
"32319","Samp42_bcBFQL","Samp42",8534,4748,2,"MPP-2"
"32320","Samp42_bcIBKZ","Samp42",11997,5741,1,"MPP-1"
"32321","Samp42_bcHKXM","Samp42",7386,4061,3,"Ly-Prog-4"
"32322","Samp42_bcDJJR","Samp42",5974,3624,3,"Ly-Prog-4"
"32323","Samp42_bcDMNE","Samp42",14382,7252,3,"Ly-Prog-4"
"32324","Samp42_bcCQYY","Samp42",5261,3095,6,"Ly-Prog-2"
"32325","Samp42_bcIJCT","Samp42",4488,2962,3,"Ly-Prog-4"
"32326","Samp42_bcGMXF","Samp42",3866,2616,6,"Ly-Prog-2"
"32327","Samp42_bcACXF","Samp42",2906,1890,3,"Ly-Prog-4"
"32328","Samp42_bcBKTM","Samp42",2307,1661,3,"Ly-Prog-4"
"32329","Samp42_bcIFDW","Samp42",553,455,3,"Ly-Prog-4"
"32330","Samp42_bcDYDP","Samp42",14728,6998,3,"Ly-Prog-4"
"32331","Samp42_bcEUKW","Samp42",4066,2719,3,"Ly-Prog-4"
"32332","Samp42_bcHFBQ","Samp42",3480,2335,10,"Ly-Prog-1"
"32333","Samp42_bcBXDH","Samp42",3295,2226,3,"Ly-Prog-4"
"32334","Samp42_bcDUAC","Samp42",7490,4295,3,"Ly-Prog-4"
"32335","Samp42_bcEQOZ","Samp42",2728,1829,3,"Ly-Prog-4"
"32336","Samp42_bcAAMT","Samp42",7743,4562,6,"Ly-Prog-2"
"32337","Samp42_bcCFOX","Samp42",3655,2271,3,"Ly-Prog-4"
"32338","Samp42_bcAARO","Samp42",3653,2369,2,"MPP-2"
"32339","Samp42_bcAPVJ","Samp42",3138,1975,3,"Ly-Prog-4"
"32340","Samp42_bcHLKY","Samp42",1460,959,3,"Ly-Prog-4"
"32341","Samp42_bcFXPM","Samp42",13110,6588,6,"Ly-Prog-2"
"32342","Samp42_bcEMEO","Samp42",6511,3921,3,"Ly-Prog-4"
"32343","Samp42_bcGXTL","Samp42",4975,3112,6,"Ly-Prog-2"
"32344","Samp42_bcESIX","Samp42",3223,2152,6,"Ly-Prog-2"
"32345","Samp42_bcEKBA","Samp42",13276,6340,2,"MPP-2"
"32346","Samp42_bcCZDJ","Samp42",11179,5842,3,"Ly-Prog-4"
"32347","Samp42_bcACVD","Samp42",3347,2261,6,"Ly-Prog-2"
"32348","Samp42_bcCLEW","Samp42",10793,5994,6,"Ly-Prog-2"
"32349","Samp42_bcDDBT","Samp42",9422,5201,6,"Ly-Prog-2"
"32350","Samp42_bcIDJC","Samp42",8231,4799,6,"Ly-Prog-2"
"32351","Samp42_bcARMI","Samp42",8079,4414,3,"Ly-Prog-4"
"32352","Samp42_bcGVCS","Samp42",1020,751,3,"Ly-Prog-4"
"32353","Samp42_bcGNKW","Samp42",14740,6997,2,"MPP-2"
"32354","Samp42_bcDFYR","Samp42",6088,3618,3,"Ly-Prog-4"
"32355","Samp42_bcBQGN","Samp42",12208,6155,3,"Ly-Prog-4"
"32356","Samp42_bcANFR","Samp42",4874,2915,3,"Ly-Prog-4"
"32357","Samp42_bcFPXE","Samp42",12108,6176,3,"Ly-Prog-4"
"32358","Samp42_bcAVEM","Samp42",5400,3306,6,"Ly-Prog-2"
"32359","Samp42_bcIEJH","Samp42",3342,2298,3,"Ly-Prog-4"
"32360","Samp42_bcHAEI","Samp42",11357,5996,3,"Ly-Prog-4"
"32361","Samp42_bcIBRO","Samp42",11133,5716,10,"Ly-Prog-1"
"32362","Samp42_bcFPEV","Samp42",6577,4064,6,"Ly-Prog-2"
"32363","Samp42_bcAJRE","Samp42",5692,3437,3,"Ly-Prog-4"
"32364","Samp42_bcFPZC","Samp42",3369,2137,12,"G/Mono-Prog"
"32365","Samp42_bcCAGA","Samp42",1673,1238,6,"Ly-Prog-2"
"32366","Samp42_bcHCZY","Samp42",10801,5372,6,"Ly-Prog-2"
"32367","Samp42_bcEUGZ","Samp42",8772,4676,10,"Ly-Prog-1"
"32368","Samp42_bcAYLV","Samp42",2396,1696,3,"Ly-Prog-4"
"32369","Samp42_bcBLQP","Samp42",9625,5223,3,"Ly-Prog-4"
"32370","Samp42_bcHQQP","Samp42",19022,8652,15,"pDC-Prog"
"32371","Samp42_bcGHRO","Samp42",12684,6366,6,"Ly-Prog-2"
"32372","Samp42_bcBKOB","Samp42",6837,3866,6,"Ly-Prog-2"
"32373","Samp42_bcBGLF","Samp42",6819,4111,3,"Ly-Prog-4"
"32374","Samp42_bcENTH","Samp42",3816,2359,3,"Ly-Prog-4"
"32375","Samp42_bcHYJI","Samp42",15340,7435,3,"Ly-Prog-4"
"32376","Samp42_bcHPXY","Samp42",3051,2121,3,"Ly-Prog-4"
"32377","Samp42_bcFNWG","Samp42",12417,6341,2,"MPP-2"
"32378","Samp42_bcAUDT","Samp42",5608,3392,2,"MPP-2"
"32379","Samp42_bcAIPT","Samp42",5126,3176,3,"Ly-Prog-4"
"32380","Samp42_bcFLVG","Samp42",2486,1721,3,"Ly-Prog-4"
"32381","Samp42_bcDNGN","Samp42",13949,6641,6,"Ly-Prog-2"
"32382","Samp42_bcGRFQ","Samp42",5523,3402,10,"Ly-Prog-1"
"32383","Samp42_bcDRWQ","Samp42",4768,2917,3,"Ly-Prog-4"
"32384","Samp42_bcAPWE","Samp42",10586,5694,3,"Ly-Prog-4"
"32385","Samp42_bcDJUD","Samp42",3880,2421,3,"Ly-Prog-4"
"32386","Samp42_bcHJEG","Samp42",10628,5765,3,"Ly-Prog-4"
"32387","Samp42_bcBRIR","Samp42",6830,3921,3,"Ly-Prog-4"
"32388","Samp42_bcDHHA","Samp42",3781,2568,3,"Ly-Prog-4"
"32389","Samp42_bcFUQU","Samp42",990,772,6,"Ly-Prog-2"
"32390","Samp42_bcGAFH","Samp42",9570,5291,2,"MPP-2"
"32391","Samp42_bcIHYS","Samp42",12456,6245,3,"Ly-Prog-4"
"32392","Samp42_bcGDCY","Samp42",7304,4054,2,"MPP-2"
"32393","Samp42_bcDIRJ","Samp42",3695,2562,6,"Ly-Prog-2"
"32394","Samp42_bcEAIA","Samp42",12829,6155,2,"MPP-2"
"32395","Samp42_bcDUCY","Samp42",11600,5679,2,"MPP-2"
"32396","Samp42_bcGPVS","Samp42",7455,4256,3,"Ly-Prog-4"
"32397","Samp42_bcBIDF","Samp42",6476,3705,6,"Ly-Prog-2"
"32398","Samp42_bcDBOR","Samp42",1487,1130,16,"Ly-Prog-5"
"32399","Samp42_bcFKRM","Samp42",1358,1049,16,"Ly-Prog-5"
"32400","Samp42_bcCKGU","Samp42",880,727,16,"Ly-Prog-5"
"32401","Samp42_bcICER","Samp42",615,408,8,"Ly-Prog-3"
"32402","Samp42_bcEJYZ","Samp42",3112,2113,16,"Ly-Prog-5"
"32403","Samp42_bcARLQ","Samp42",883,742,16,"Ly-Prog-5"
"32404","Samp42_bcHVBJ","Samp42",676,504,16,"Ly-Prog-5"
"32405","Samp42_bcHWBC","Samp42",5425,4022,16,"Ly-Prog-5"
"32406","Samp42_bcDMJW","Samp42",4213,2568,10,"Ly-Prog-1"
"32407","Samp42_bcCVTR","Samp42",1733,1352,16,"Ly-Prog-5"
"32408","Samp42_bcDZDZ","Samp42",760,581,21,"MPP-3"
"32409","Samp42_bcBFYT","Samp42",4147,2690,10,"Ly-Prog-1"
"32410","Samp42_bcALVI","Samp42",1031,763,8,"Ly-Prog-3"
"32411","Samp42_bcEGCB","Samp42",445,386,8,"Ly-Prog-3"
"32412","Samp42_bcAUOA","Samp42",2874,2008,16,"Ly-Prog-5"
"32413","Samp42_bcHEMR","Samp42",1568,1165,3,"Ly-Prog-4"
"32414","Samp42_bcFCAM","Samp42",537,450,16,"Ly-Prog-5"
"32415","Samp42_bcHCFB","Samp42",2178,1621,16,"Ly-Prog-5"
"32416","Samp42_bcHZQC","Samp42",1789,1350,16,"Ly-Prog-5"
"32417","Samp42_bcEDED","Samp42",893,740,16,"Ly-Prog-5"
"32418","Samp42_bcFLVY","Samp42",3536,2387,8,"Ly-Prog-3"
"32419","Samp42_bcHRMA","Samp42",2076,1449,16,"Ly-Prog-5"
"32420","Samp42_bcCIRL","Samp42",5211,3364,3,"Ly-Prog-4"
"32421","Samp42_bcAKTF","Samp42",1794,1305,16,"Ly-Prog-5"
"32422","Samp42_bcIAVK","Samp42",1147,809,16,"Ly-Prog-5"
"32423","Samp42_bcDNKK","Samp42",2089,1501,16,"Ly-Prog-5"
"32424","Samp42_bcGFRR","Samp42",1101,898,16,"Ly-Prog-5"
"32425","Samp42_bcANNN","Samp42",893,679,16,"Ly-Prog-5"
"32426","Samp42_bcFSUN","Samp42",1914,1455,16,"Ly-Prog-5"
"32427","Samp42_bcDKSV","Samp42",2603,1824,16,"Ly-Prog-5"
"32428","Samp42_bcDODU","Samp42",2329,1724,16,"Ly-Prog-5"
"32429","Samp42_bcBTSZ","Samp42",1419,1148,8,"Ly-Prog-3"
"32430","Samp42_bcEOWR","Samp42",2844,2066,16,"Ly-Prog-5"
"32431","Samp42_bcDTCP","Samp42",9169,5084,8,"Ly-Prog-3"
"32432","Samp42_bcBOLG","Samp42",794,636,16,"Ly-Prog-5"
"32433","Samp42_bcIDNR","Samp42",3164,2133,16,"Ly-Prog-5"
"32434","Samp42_bcATLH","Samp42",1579,1223,16,"Ly-Prog-5"
"32435","Samp42_bcCVIT","Samp42",2025,1495,16,"Ly-Prog-5"
"32436","Samp42_bcIJYL","Samp42",1232,918,16,"Ly-Prog-5"
"32437","Samp42_bcBEJW","Samp42",3165,2157,16,"Ly-Prog-5"
"32438","Samp42_bcCOPA","Samp42",5414,3193,8,"Ly-Prog-3"
"32439","Samp42_bcIBMZ","Samp42",1823,1300,16,"Ly-Prog-5"
"32440","Samp42_bcAVGE","Samp42",1532,1198,16,"Ly-Prog-5"
"32441","Samp42_bcFDVO","Samp42",642,518,16,"Ly-Prog-5"
"32442","Samp42_bcIJWH","Samp42",1008,772,3,"Ly-Prog-4"
"32443","Samp42_bcGJQJ","Samp42",1393,1008,3,"Ly-Prog-4"
"32444","Samp42_bcHDFG","Samp42",806,620,16,"Ly-Prog-5"
"32445","Samp42_bcAMMC","Samp42",1632,1205,16,"Ly-Prog-5"
"32446","Samp42_bcIAJP","Samp42",1555,1176,16,"Ly-Prog-5"
"32447","Samp42_bcDLVQ","Samp42",1322,962,16,"Ly-Prog-5"
"32448","Samp42_bcGVCG","Samp42",1224,937,16,"Ly-Prog-5"
"32449","Samp42_bcCSPR","Samp42",1270,973,16,"Ly-Prog-5"
"32450","Samp42_bcGRNC","Samp42",927,726,16,"Ly-Prog-5"
"32451","Samp42_bcBCOE","Samp42",2939,2021,16,"Ly-Prog-5"
"32452","Samp42_bcFUSM","Samp42",1650,1161,16,"Ly-Prog-5"
"32453","Samp42_bcFOPP","Samp42",1369,977,16,"Ly-Prog-5"
"32454","Samp42_bcHRTW","Samp42",1252,943,16,"Ly-Prog-5"
"32455","Samp42_bcHHNH","Samp42",1178,862,16,"Ly-Prog-5"
"32456","Samp42_bcCWFV","Samp42",5469,3972,16,"Ly-Prog-5"
