Cell,age
BM1_bcAQHH,25yr-1
BM1_bcELMI,25yr-1
BM1_bcHFZT,25yr-1
BM1_bcFAWF,25yr-1
BM1_bcHPIG,25yr-1
BM1_bcHEMK,25yr-1
BM1_bcESUV,25yr-1
BM1_bcGBCA,25yr-1
BM1_bcHUXY,25yr-1
BM1_bcALNK,25yr-1
BM1_bcDHCX,25yr-1
BM1_bcDQPL,25yr-1
BM1_bcANCI,25yr-1
BM1_bcAQYL,25yr-1
BM1_bcHVRT,25yr-1
BM1_bcGWCA,25yr-1
BM1_bcHDVL,25yr-1
BM1_bcEHDH,25yr-1
BM1_bcCHLC,25yr-1
BM1_bcFHRM,25yr-1
BM1_bcGXUI,25yr-1
BM1_bcAHUO,25yr-1
BM1_bcCYXB,25yr-1
BM1_bcCWDS,25yr-1
BM1_bcIEUE,25yr-1
BM1_bcGLPY,25yr-1
BM1_bcHMZY,25yr-1
BM1_bcDBMW,25yr-1
BM1_bcCWQI,25yr-1
BM1_bcGHHO,25yr-1
BM1_bcHHMH,25yr-1
BM1_bcBAWS,25yr-1
BM1_bcEJSP,25yr-1
BM1_bcGLJU,25yr-1
BM1_bcHAFY,25yr-1
BM1_bcDOZP,25yr-1
BM1_bcCYVF,25yr-1
BM1_bcDHKC,25yr-1
BM1_bcAPFY,25yr-1
BM1_bcHFPT,25yr-1
BM1_bcHQKK,25yr-1
BM1_bcGBFL,25yr-1
BM1_bcAFXI,25yr-1
BM1_bcCMXY,25yr-1
BM1_bcBIUI,25yr-1
BM1_bcCZCF,25yr-1
BM1_bcBKQL,25yr-1
BM1_bcGPHY,25yr-1
BM1_bcDKZX,25yr-1
BM1_bcCQGC,25yr-1
BM1_bcHPZX,25yr-1
BM1_bcGFTF,25yr-1
BM1_bcGXLK,25yr-1
BM1_bcDEHU,25yr-1
BM1_bcHHBU,25yr-1
BM1_bcDCAG,25yr-1
BM1_bcBPUB,25yr-1
BM1_bcHYHZ,25yr-1
BM1_bcFMKT,25yr-1
BM1_bcFNUH,25yr-1
BM1_bcBGRM,25yr-1
BM1_bcHHZB,25yr-1
BM1_bcBGUI,25yr-1
BM1_bcAPLH,25yr-1
BM1_bcENUQ,25yr-1
BM1_bcEJNF,25yr-1
BM1_bcGOVZ,25yr-1
BM1_bcGDDL,25yr-1
BM1_bcDDYC,25yr-1
BM1_bcFEBE,25yr-1
BM1_bcASMJ,25yr-1
BM1_bcGTCF,25yr-1
BM1_bcHPSD,25yr-1
BM1_bcAANH,25yr-1
BM1_bcBJGT,25yr-1
BM1_bcIJGZ,25yr-1
BM1_bcBXGX,25yr-1
BM1_bcEOER,25yr-1
BM1_bcDTTB,25yr-1
BM1_bcHEVI,25yr-1
BM1_bcCIQE,25yr-1
BM1_bcFMTY,25yr-1
BM1_bcFVEQ,25yr-1
BM1_bcBXBN,25yr-1
BM1_bcDLUA,25yr-1
BM1_bcDVXG,25yr-1
BM1_bcAZOY,25yr-1
BM1_bcHTVQ,25yr-1
BM1_bcCJUF,25yr-1
BM1_bcGWHR,25yr-1
BM1_bcACBR,25yr-1
BM1_bcAIVO,25yr-1
BM1_bcHAIJ,25yr-1
BM1_bcBURN,25yr-1
BM1_bcIDUK,25yr-1
BM1_bcGTCY,25yr-1
BM1_bcDOGP,25yr-1
BM1_bcGTAD,25yr-1
BM1_bcBVOX,25yr-1
BM1_bcGRWW,25yr-1
BM1_bcAZDM,25yr-1
BM1_bcCELS,25yr-1
BM1_bcDYSD,25yr-1
BM1_bcESHM,25yr-1
BM1_bcFUGY,25yr-1
BM1_bcABYP,25yr-1
BM1_bcFQEJ,25yr-1
BM1_bcDHOA,25yr-1
BM1_bcGGCB,25yr-1
BM1_bcBSZP,25yr-1
BM1_bcGINN,25yr-1
BM1_bcASSI,25yr-1
BM1_bcDQAA,25yr-1
BM1_bcDGMX,25yr-1
BM1_bcBLUW,25yr-1
BM1_bcEEWS,25yr-1
BM1_bcGBDI,25yr-1
BM1_bcDLMQ,25yr-1
BM1_bcCHSS,25yr-1
BM1_bcDXAI,25yr-1
BM1_bcGAPU,25yr-1
BM1_bcCSYU,25yr-1
BM1_bcFXRS,25yr-1
BM1_bcCPVV,25yr-1
BM1_bcHLXR,25yr-1
BM1_bcGFWP,25yr-1
BM1_bcFSHT,25yr-1
BM1_bcCBSP,25yr-1
BM1_bcEWKR,25yr-1
BM1_bcHSAG,25yr-1
BM1_bcCFVV,25yr-1
BM1_bcDIQG,25yr-1
BM1_bcEMNT,25yr-1
BM1_bcHHXD,25yr-1
BM1_bcEXOB,25yr-1
BM1_bcGMMB,25yr-1
BM1_bcFPOA,25yr-1
BM1_bcCRNM,25yr-1
BM1_bcCVSS,25yr-1
BM1_bcDRQV,25yr-1
BM1_bcEGFZ,25yr-1
BM1_bcCFNV,25yr-1
BM1_bcDYUZ,25yr-1
BM1_bcAQEU,25yr-1
BM1_bcDTPB,25yr-1
BM1_bcHPNL,25yr-1
BM1_bcCSTM,25yr-1
BM1_bcEJER,25yr-1
BM1_bcGDUG,25yr-1
BM1_bcFASV,25yr-1
BM1_bcHAED,25yr-1
BM1_bcBMWO,25yr-1
BM1_bcBHZX,25yr-1
BM1_bcFPBA,25yr-1
BM1_bcDAHP,25yr-1
BM1_bcBKYU,25yr-1
BM1_bcGDAN,25yr-1
BM1_bcIIGN,25yr-1
BM1_bcCLPY,25yr-1
BM1_bcDFCW,25yr-1
BM1_bcFXJL,25yr-1
BM1_bcDLNR,25yr-1
BM1_bcIBDW,25yr-1
BM1_bcCHEC,25yr-1
BM1_bcBTDW,25yr-1
BM1_bcBJTF,25yr-1
BM1_bcDPMX,25yr-1
BM1_bcEYHG,25yr-1
BM1_bcDPBC,25yr-1
BM1_bcFOSG,25yr-1
BM1_bcDXGA,25yr-1
BM1_bcCINA,25yr-1
BM1_bcFYYH,25yr-1
BM1_bcBIDH,25yr-1
BM1_bcFXQY,25yr-1
BM1_bcGZZL,25yr-1
BM1_bcFITJ,25yr-1
BM1_bcGSYD,25yr-1
BM1_bcBREG,25yr-1
BM1_bcDWGM,25yr-1
BM1_bcEHJY,25yr-1
BM1_bcEDLO,25yr-1
BM1_bcFMXZ,25yr-1
BM1_bcDUSG,25yr-1
BM1_bcECQQ,25yr-1
BM1_bcEMEA,25yr-1
BM1_bcALXA,25yr-1
BM1_bcACZY,25yr-1
BM1_bcBSUU,25yr-1
BM1_bcHKOT,25yr-1
BM1_bcFOID,25yr-1
BM1_bcDDZD,25yr-1
BM1_bcDOYA,25yr-1
BM1_bcFCEM,25yr-1
BM1_bcFUMY,25yr-1
BM1_bcFGQW,25yr-1
BM1_bcDDKS,25yr-1
BM1_bcHMSL,25yr-1
BM1_bcDIZW,25yr-1
BM1_bcBVSQ,25yr-1
BM1_bcACNX,25yr-1
BM1_bcFXXK,25yr-1
BM1_bcADDJ,25yr-1
BM1_bcDCLC,25yr-1
BM1_bcFRUL,25yr-1
BM1_bcHPSL,25yr-1
BM1_bcHBBO,25yr-1
BM1_bcAUTF,25yr-1
BM1_bcAQLK,25yr-1
BM1_bcFDFC,25yr-1
BM1_bcIBGV,25yr-1
BM1_bcDAIE,25yr-1
BM1_bcABVS,25yr-1
BM1_bcALSW,25yr-1
BM1_bcBVCJ,25yr-1
BM1_bcGHGW,25yr-1
BM1_bcEDAN,25yr-1
BM1_bcCIKX,25yr-1
BM1_bcCBEE,25yr-1
BM1_bcEBGK,25yr-1
BM1_bcBDRX,25yr-1
BM1_bcBXHF,25yr-1
BM1_bcHSYU,25yr-1
BM1_bcGVJV,25yr-1
BM1_bcEEEY,25yr-1
BM1_bcETRD,25yr-1
BM1_bcGPAG,25yr-1
BM1_bcFFQQ,25yr-1
BM1_bcHEMH,25yr-1
BM1_bcHLFL,25yr-1
BM1_bcBFLP,25yr-1
BM1_bcHYQZ,25yr-1
BM1_bcDBJV,25yr-1
BM1_bcEWRJ,25yr-1
BM1_bcCQCR,25yr-1
BM1_bcEZNB,25yr-1
BM1_bcBRGP,25yr-1
BM1_bcENWK,25yr-1
BM1_bcDWGY,25yr-1
BM1_bcAEMC,25yr-1
BM1_bcAPHG,25yr-1
BM1_bcHVHB,25yr-1
BM1_bcDNQK,25yr-1
BM1_bcFFLB,25yr-1
BM1_bcHJIZ,25yr-1
BM1_bcBOUL,25yr-1
BM1_bcDPJD,25yr-1
BM1_bcAVVP,25yr-1
BM1_bcGYTN,25yr-1
BM1_bcAYXF,25yr-1
BM1_bcARHL,25yr-1
BM1_bcAHOT,25yr-1
BM1_bcFLZB,25yr-1
BM1_bcDETK,25yr-1
BM1_bcEFDU,25yr-1
BM1_bcFYTG,25yr-1
BM1_bcBKCQ,25yr-1
BM1_bcHDAB,25yr-1
BM1_bcCNNW,25yr-1
BM1_bcAKCY,25yr-1
BM1_bcHYWL,25yr-1
BM1_bcAYBE,25yr-1
BM1_bcGXLD,25yr-1
BM1_bcFODD,25yr-1
BM1_bcCTLC,25yr-1
BM1_bcDZXV,25yr-1
BM1_bcEGPB,25yr-1
BM1_bcASHS,25yr-1
BM1_bcCBPD,25yr-1
BM1_bcIEQS,25yr-1
BM1_bcEMNW,25yr-1
BM1_bcCDBV,25yr-1
BM1_bcGDGK,25yr-1
BM1_bcBMOU,25yr-1
BM1_bcCNIS,25yr-1
BM1_bcBOCS,25yr-1
BM1_bcEFOO,25yr-1
BM1_bcDTKV,25yr-1
BM1_bcELWA,25yr-1
BM1_bcEGVM,25yr-1
BM1_bcBKPJ,25yr-1
BM1_bcHNVI,25yr-1
BM1_bcBWZA,25yr-1
BM1_bcDRHH,25yr-1
BM1_bcAERF,25yr-1
BM1_bcCOJC,25yr-1
BM1_bcHAUX,25yr-1
BM1_bcHVTC,25yr-1
BM1_bcGTDQ,25yr-1
BM1_bcDFWQ,25yr-1
BM1_bcFCIM,25yr-1
BM1_bcFDDA,25yr-1
BM1_bcAXMZ,25yr-1
BM1_bcGAZW,25yr-1
BM1_bcCABK,25yr-1
BM1_bcBHRL,25yr-1
BM1_bcDGFR,25yr-1
BM1_bcFIUA,25yr-1
BM1_bcETSS,25yr-1
BM1_bcCLJI,25yr-1
BM1_bcAITZ,25yr-1
BM1_bcAEGX,25yr-1
BM1_bcGQDB,25yr-1
BM1_bcAKCW,25yr-1
BM1_bcIFKH,25yr-1
BM1_bcADBQ,25yr-1
BM1_bcEJYF,25yr-1
BM1_bcADOJ,25yr-1
BM1_bcHEIX,25yr-1
BM1_bcAPFJ,25yr-1
BM1_bcCVTN,25yr-1
BM1_bcGRGD,25yr-1
BM1_bcGLJL,25yr-1
BM1_bcABME,25yr-1
BM1_bcABTC,25yr-1
BM1_bcBFXT,25yr-1
BM1_bcFFKO,25yr-1
BM1_bcCUOX,25yr-1
BM1_bcARYT,25yr-1
BM1_bcEBSC,25yr-1
BM1_bcGIFG,25yr-1
BM1_bcEPQI,25yr-1
BM1_bcCKUE,25yr-1
BM1_bcASZB,25yr-1
BM1_bcGTJE,25yr-1
BM1_bcANIF,25yr-1
BM1_bcHOJV,25yr-1
BM1_bcEQJD,25yr-1
BM1_bcEWRQ,25yr-1
BM1_bcDYPE,25yr-1
BM1_bcIANC,25yr-1
BM1_bcFVEK,25yr-1
BM1_bcFMFC,25yr-1
BM1_bcBRDS,25yr-1
BM1_bcAZKD,25yr-1
BM1_bcEEDO,25yr-1
BM1_bcCZKL,25yr-1
BM1_bcIIGE,25yr-1
BM1_bcFWON,25yr-1
BM1_bcHDIY,25yr-1
BM1_bcFPMR,25yr-1
BM1_bcCDWD,25yr-1
BM1_bcDITD,25yr-1
BM1_bcBUUS,25yr-1
BM1_bcCHXT,25yr-1
BM1_bcFRGR,25yr-1
BM1_bcDOEH,25yr-1
BM1_bcGQEI,25yr-1
BM1_bcGRPI,25yr-1
BM1_bcHUOE,25yr-1
BM1_bcERMY,25yr-1
BM1_bcBWHV,25yr-1
BM1_bcBFFX,25yr-1
BM1_bcDGPC,25yr-1
BM1_bcDXDI,25yr-1
BM1_bcEBSX,25yr-1
BM1_bcDVXW,25yr-1
BM1_bcENAB,25yr-1
BM1_bcCSLA,25yr-1
BM1_bcFQXI,25yr-1
BM1_bcEHID,25yr-1
BM1_bcCFVI,25yr-1
BM1_bcEXUL,25yr-1
BM1_bcEVGB,25yr-1
BM1_bcBUXK,25yr-1
BM1_bcFYSH,25yr-1
